# ResFinder phenotype results.
# Sample: SJTUF13448.fsa
# 
# The phenotype 'No resistance' should be interpreted with
# caution, as it only means that nothing in the used
# database indicate resistance, but resistance could exist
# from 'unknown' or not yet implemented sources.
# 
# The 'Match' column stores one of the integers 0, 1, 2, 3.
#      0: No match found
#      1: Match < 100% ID AND match length < ref length
#      2: Match = 100% ID AND match length < ref length
#      3: Match = 100% ID AND match length = ref length
# If several hits causing the same resistance are found,
# the highest number will be stored in the 'Match' column.

# Antimicrobial	Class	WGS-predicted phenotype	Match	Genetic background
gentamicin	aminoglycoside	No resistance	0	
tobramycin	aminoglycoside	Resistant	3	aac(6')-Iaa (aac(6')-Iaa_NC_003197), aac(6')-Ib-cr (aac(6')-Ib-cr_EF636461)
streptomycin	aminoglycoside	Resistant	3	aph(6)-Id (aph(6)-Id_M28829), aph(3'')-Ib (aph(3'')-Ib_AF024602), aph(3'')-Ib (aph(3'')-Ib_AF321551), aph(3'')-Ib (aph(3'')-Ib_AF313472), aph(3'')-Ib (aph(3'')-Ib_AF321550), aadA2 (aadA2_JQ364967)
amikacin	aminoglycoside	Resistant	3	aac(6')-Iaa (aac(6')-Iaa_NC_003197), aac(6')-Ib-cr (aac(6')-Ib-cr_EF636461)
isepamicin	aminoglycoside	No resistance	0	
dibekacin	aminoglycoside	Resistant	3	aac(6')-Ib-cr (aac(6')-Ib-cr_EF636461)
kanamycin	aminoglycoside	Resistant	3	aph(3')-Ia (aph(3')-Ia_V00359)
neomycin	aminoglycoside	Resistant	3	aph(3')-Ia (aph(3')-Ia_V00359)
lividomycin	aminoglycoside	Resistant	3	aph(3')-Ia (aph(3')-Ia_V00359)
paromomycin	aminoglycoside	Resistant	3	aph(3')-Ia (aph(3')-Ia_V00359)
ribostamycin	aminoglycoside	Resistant	3	aph(3')-Ia (aph(3')-Ia_V00359)
unknown aminoglycoside	aminoglycoside	No resistance	0	
butiromycin	aminoglycoside	No resistance	0	
butirosin	aminoglycoside	No resistance	0	
hygromycin	aminoglycoside	No resistance	0	
netilmicin	aminoglycoside	Resistant	3	aac(6')-Ib-cr (aac(6')-Ib-cr_EF636461)
apramycin	aminoglycoside	No resistance	0	
sisomicin	aminoglycoside	Resistant	3	aac(6')-Ib-cr (aac(6')-Ib-cr_EF636461)
arbekacin	aminoglycoside	No resistance	0	
kasugamycin	aminoglycoside	No resistance	0	
astromicin	aminoglycoside	No resistance	0	
fortimicin	aminoglycoside	No resistance	0	
spectinomycin	aminocyclitol	Resistant	3	aadA2 (aadA2_JQ364967)
fluoroquinolone	quinolone	Resistant	3	aac(6')-Ib-cr (aac(6')-Ib-cr_EF636461)
ciprofloxacin	quinolone	Resistant	3	aac(6')-Ib-cr (aac(6')-Ib-cr_EF636461), qnrB4 (qnrB4_DQ303921)
unknown quinolone	quinolone	No resistance	0	
nalidixic acid	quinolone	No resistance	0	
amoxicillin	beta-lactam	Resistant	3	blaDHA-1 (blaDHA-1_Y16410), blaOXA-1 (blaOXA-1_HQ170510)
amoxicillin+clavulanic acid	beta-lactam	Resistant	3	blaDHA-1 (blaDHA-1_Y16410), blaOXA-1 (blaOXA-1_HQ170510)
ampicillin	beta-lactam	Resistant	3	blaDHA-1 (blaDHA-1_Y16410), blaOXA-1 (blaOXA-1_HQ170510)
ampicillin+clavulanic acid	beta-lactam	Resistant	3	blaDHA-1 (blaDHA-1_Y16410), blaOXA-1 (blaOXA-1_HQ170510)
cefepime	beta-lactam	Resistant	3	blaOXA-1 (blaOXA-1_HQ170510)
cefixime	beta-lactam	No resistance	0	
cefotaxime	beta-lactam	Resistant	3	blaDHA-1 (blaDHA-1_Y16410)
